collocation,count,count_nested,length,lambda,z
will be,279,0,2,4.675038864320431,51.896300788532784
our country,177,0,2,5.559137738355353,39.425941587856336
fake news,176,0,2,8.84616010154593,37.37240960129048
it was,112,0,2,4.260627899493518,35.21561413993897
we are,148,0,2,3.4698656482357926,34.5016742069397
a great,163,0,2,3.222458644075405,32.99685073498994
of the,429,0,2,1.9075887275350123,32.96492250446929
we will,126,0,2,3.3476235628863424,31.41869551618753
north korea,114,0,2,9.84235883408974,30.815164045535877
thank you,203,0,2,8.673530005131942,30.803851988825976
news media,55,0,2,5.79023787182876,30.547565133636844
has been,61,0,2,5.1511189611285175,30.140829545120084
AMERICA GREAT,63,0,2,8.190309258346645,29.32214154545228
so much,54,0,2,5.190734589737708,28.523469663910912
united states,101,0,2,10.284807085223505,27.850051027645954
have been,61,0,2,4.542552525613895,27.475960026376725
great honor,66,0,2,5.032943465189088,27.33622478434432
it is,110,0,2,3.0750946628648164,27.285593463712853
at the,188,0,2,2.562335000704672,27.25513202586353
in the,300,0,2,1.8169220235763,26.846755545524037
crooked hillary,46,0,2,8.69946131642931,26.677238089528657
look forward,34,0,2,7.325645499905838,26.455121461319443
more than,41,0,2,5.264859778214552,26.420065301833702
hillary clinton,35,0,2,7.727803605281297,26.366624280604682
RT @foxandfriends,52,0,2,5.657042931487231,26.047916869864537
looking forward,31,0,2,7.029754641775611,25.708539664041936
tax cuts,75,0,2,8.759158272661463,25.293459235363308
obama administration,29,0,2,6.668262568988151,24.952448713566824
president trump,40,0,2,4.7848130596409355,24.781259468547628
was my,54,0,2,3.9340674427770517,24.50270458657944
working hard,29,0,2,5.871267013470949,24.193217961795888
last night,39,0,2,8.6839499862954,24.138317761838614
join me,34,0,2,6.947603877847553,23.988903404963807
all of,100,0,2,2.892667953135831,23.88835721435597
they are,75,0,2,3.1398409180378586,23.779395906447863
there was,46,0,2,4.220583768913164,23.763765642680333
we need,55,0,2,5.326187195044347,23.29259342699935
the u.s,127,0,2,3.241926451193611,23.046882758688398
illegal immigration,23,0,2,6.741261029558412,22.956676665658353
james comey,34,0,2,9.099009129048753,22.795714872889512
i have,71,0,2,3.0588586875694768,22.78506939004933
border security,25,0,2,5.809649633814697,22.719642753121523
want to,87,0,2,3.7542000121199424,22.596586779071558
no collusion,30,0,2,5.710156468712714,22.52520453903675
i will,80,0,2,2.816354901939973,22.453272291140646
there is,61,0,2,3.594446933796217,22.45217596418212
so many,37,0,2,4.326241160785113,22.357429000409933
RT @realdonaldtrump,38,0,2,5.670849673677943,22.236886699204877
we have,69,0,2,2.9503160264333275,21.81106669956511
we must,45,0,2,4.081423256506826,21.774120813090168
meeting with,43,0,2,4.8541208380720935,21.744858111607833
national security,23,0,2,5.634597280151649,21.692239563310796
an honor,28,0,2,4.9158807405851315,21.675960893500935
this is,74,0,2,2.8652930282858655,21.54132716477679
should be,44,0,2,3.888981970668374,21.414556909691775
a big,60,0,2,3.5437044538995,21.240722825228392
the democrats,107,0,2,3.3487622218148854,21.156953846091515
the fake,107,0,2,3.2317316113055066,21.152549719239158
american people,34,0,2,4.226108474359254,21.117808539094455
GREAT AGAIN,68,0,2,9.66157834440082,20.949553316330277
honor to,101,0,2,4.991959608932771,20.947239842542185
would be,44,0,2,3.7250924164296833,20.94252362929894
president obama,26,0,2,5.026953015882071,20.86450843058073
is a,127,0,2,2.045051749177426,20.816576261785492
many years,28,0,2,4.572843900165525,20.717663903065286
much more,28,0,2,4.500044166485381,20.546837004476448
my great,48,0,2,3.314798015038276,20.43957144715124
@flotus melania,25,0,2,9.795604962673764,20.438370437074965
tax cut,31,0,2,7.4776451039838205,20.38166924832803
south korea,20,0,2,6.338276783657979,20.07203608590907
than ever,21,0,2,5.205293757665425,19.82193595725945
failing @nytimes,27,0,2,9.731556208742138,19.802475273966895
trump campaign,22,0,2,5.0428784759497445,19.793298786126677
our military,39,0,2,4.034853318038536,19.78083115207168
FAKE NEWS,34,0,2,10.421636545635756,19.70271014540634
stock market,49,0,2,11.517300000369774,19.193255962046607
going to,63,0,2,3.4081081718761688,19.149756746427286
our great,65,0,2,2.598750636410678,19.024233784041236
do not,27,0,2,4.170000970964522,19.012933037541774
coming back,18,0,2,5.413310845134122,18.930197029984654
their families,21,0,2,5.339081363330488,18.89662561080594
getting ready,14,0,2,7.002082624981156,18.76026996480614
washington post,16,0,2,9.182208507531222,18.63540313622882
to be,120,0,2,1.8979151899162305,18.479632448025857
years ago,14,0,2,7.060884458234309,18.436390504621162
immigration laws,13,0,2,6.802878205441532,18.390041631882564
massive tax,17,0,2,5.350190750953418,18.287807195056953
13 angry,15,0,2,9.397991685313368,18.255230594687823
make america,17,0,2,5.173484160804544,18.253353364275313
#maga 🇺🇸,16,0,2,5.725535989878475,18.242904314543622
on crime,33,0,2,4.031212594747117,18.136102736587212
record high,13,0,2,6.233953176306331,18.11817771969209
great job,30,0,2,3.9775349489322753,18.109327130272657
great state,29,0,2,4.140330225922085,18.093314054717833
republican party,13,0,2,6.674632291172816,18.04226481451764
