month,party,posts
2017-02-01,Democrat,372
2017-02-01,Republican,441
2017-03-01,Democrat,387
2017-03-01,Republican,365
2017-04-01,Democrat,487
2017-04-01,Republican,443
2017-05-01,Democrat,365
2017-05-01,Republican,420
2017-06-01,Democrat,433
2017-06-01,Republican,463
2017-07-01,Democrat,399
2017-07-01,Republican,421
2017-08-01,Democrat,417
2017-08-01,Republican,381
2017-09-01,Democrat,327
2017-09-01,Republican,434
2017-10-01,Democrat,437
2017-10-01,Republican,484
2017-11-01,Democrat,461
2017-11-01,Republican,390
2017-12-01,Democrat,427
2017-12-01,Republican,414
2018-01-01,Democrat,420
2018-01-01,Republican,363
