bioid,screen_name,name,gender,type,party
A000055,RobertAderholt,Robert B. Aderholt,M,rep,Republican
A000360,senatorlamaralexander,Lamar Alexander,M,sen,Republican
A000367,repjustinamash,Justin Amash,M,rep,Republican
A000369,MarkAmodeiNV2,Mark E. Amodei,M,rep,Republican
A000370,CongresswomanAdams,Alma S. Adams,F,rep,Democrat
A000371,reppeteaguilar,Pete Aguilar,M,rep,Democrat
A000372,CongressmanRickAllen,Rick W. Allen,M,rep,Republican
A000374,CongressmanRalphAbraham,Ralph Lee Abraham,M,rep,Republican
A000375,JodeyArrington,Jodey C. Arrington,M,rep,Republican
B000213,RepJoeBarton,Joe Barton,M,rep,Republican
