name,party,type,screen_name
Robert B. Aderholt,Republican,rep,RobertAderholt
Lamar Alexander,Republican,sen,senatorlamaralexander
Justin Amash,Republican,rep,repjustinamash
Mark E. Amodei,Republican,rep,MarkAmodeiNV2
Alma S. Adams,Democrat,rep,CongresswomanAdams
Pete Aguilar,Democrat,rep,reppeteaguilar
Rick W. Allen,Republican,rep,CongressmanRickAllen
Ralph Lee Abraham,Republican,rep,CongressmanRalphAbraham
Jodey C. Arrington,Republican,rep,JodeyArrington
Joe Barton,Republican,rep,RepJoeBarton
"Sanford D. Bishop, Jr.",Democrat,rep,sanfordbishop
Roy Blunt,Republican,sen,SenatorBlunt
Kevin Brady,Republican,rep,kevinbrady
Sherrod Brown,Democrat,sen,SenatorSherrodBrown
Richard Burr,Republican,sen,SenatorRichardBurr
Robert A. Brady,Democrat,rep,RepRobertBrady
Tammy Baldwin,Democrat,sen,senatortammybaldwin
John Boozman,Republican,sen,JohnBoozman
Marsha Blackburn,Republican,rep,marshablackburn
Madeleine Z. Bordallo,Democrat,rep,madeleine.bordallo
