name,party,type,screen_name
Robert B. Aderholt,Republican,rep,RobertAderholt
Lamar Alexander,Republican,sen,senatorlamaralexander
Justin Amash,Republican,rep,repjustinamash
Mark E. Amodei,Republican,rep,MarkAmodeiNV2
Rick W. Allen,Republican,rep,CongressmanRickAllen
Ralph Lee Abraham,Republican,rep,CongressmanRalphAbraham
Jodey C. Arrington,Republican,rep,JodeyArrington
Joe Barton,Republican,rep,RepJoeBarton
Roy Blunt,Republican,sen,SenatorBlunt
Kevin Brady,Republican,rep,kevinbrady
Richard Burr,Republican,sen,SenatorRichardBurr
John Boozman,Republican,sen,JohnBoozman
Marsha Blackburn,Republican,rep,marshablackburn
Michael C. Burgess,Republican,rep,michaelcburgess
Rob Bishop,Republican,rep,RepRobBishop
Gus M. Bilirakis,Republican,rep,GusBilirakis
Vern Buchanan,Republican,rep,CongressmanBuchanan
John Barrasso,Republican,sen,johnbarrasso
Lou Barletta,Republican,rep,CongressmanLouBarletta
Diane Black,Republican,rep,DianeBlackTN06
